id,module,source,type,member,kind,static,signature,owner,runtime_features,profiles,environments,status,owner_beads,test_owner_beads,diagnostic_policies,tests,rule_id,notes
hxc-stdlib-api-v1:b6c51809ad80bedbc01984a0a1d1ebbfffedf4f6dfde24e06a0a92c39ce75566,Any,Any.hx,Any,<type>,abstract,yes,Any,direct-compiler-lowering,,portable|metal,hosted|freestanding|wasi|emscripten,planned,E4.T05,E5.T12,planned-unsupported,,type-identities,A type token or alias alone selects no metadata runtime; reachable inspection and dynamic operations are owned separately.
hxc-stdlib-api-v1:808565d85c731f9dd660f784a0a240ca3444f2af816b6010349a26c33d82e497,Any,Any.hx,Any,from:Dynamic,abstract-from-cast,yes,Dynamic -> Any,direct-compiler-lowering,,portable|metal,hosted|freestanding|wasi|emscripten,planned,E4.T05,E5.T12,planned-unsupported,,type-identities,A type token or alias alone selects no metadata runtime; reachable inspection and dynamic operations are owned separately.
hxc-stdlib-api-v1:313362742fd68a52ae327899cfee99b137c7a3a6a1a332d7be7ba9f716e9a2b1,Array,Array.hx,Array,<type>,class,yes,Array,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:cd7eac8d903ea1a8ad207faa74575d72de05eb221e2c2cda10386e2ab45075d1,Array,Array.hx,Array,concat,method,no,(a : Array<Array.T>) -> Array<Array.T>,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:a52dd238ce48d775105f507c9ea7c63b7a2a47665f12fe799afe0e2d4c52a56e,Array,Array.hx,Array,contains,method,no,(x : Array.T) -> Bool,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:5ab5bcdaa9a581acf30b8ac03a73261b8177090bd35c128002eb108b7174805b,Array,Array.hx,Array,copy,method,no,() -> Array<Array.T>,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:7504ac2dc8996d45e6577965a9d8f3f1c7c06a6d485a1f67574852dce2c0f033,Array,Array.hx,Array,filter,inline-method,no,(f : (Array.T -> Bool)) -> Array<Array.T>,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:5714abc89732d2349edde719450c6bb9c8764a0819e98073b767ef17c867a924,Array,Array.hx,Array,indexOf,method,no,"(x : Array.T, ?fromIndex : Null<Int>) -> Int",target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:e65541c0ad0c67a659603240ab09d0b52ab965b883916d29954422207db754c2,Array,Array.hx,Array,insert,method,no,"(pos : Int, x : Array.T) -> Void",target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
hxc-stdlib-api-v1:aec8e6585ba3a1c1af08415b144f66082d33604e5780284d429ef449c8e751b2,Array,Array.hx,Array,iterator,inline-method,no,() -> haxe.iterators.ArrayIterator<Array.T>,target-source-override,alloc|array|gc|object,portable|metal,hosted|freestanding|wasi|emscripten,planned,E5.T03,E5.T12,planned-unsupported|runtime-policy-after-implementation,,collection-storage,Known element/key/value types should specialize to direct typed storage; allocation and tracing remain explicit reachability decisions.
